seq,cycle_duration_us,period_interval_us,read_duration_us,controller_duration_us,write_duration_us,deadline_missed,ok
157,9365.64,33341.12,19.57,22.39,9319.09,0,1
158,24003.33,33329.98,15.05,20.60,23964.45,0,1
159,22673.69,33331.57,6.91,10.48,22654.68,0,1
160,21341.10,33334.68,8.19,14.05,21317.07,0,1
161,20004.45,33331.06,4.67,8.59,19990.12,0,1
162,18673.96,33332.62,5.43,7.52,18659.97,0,1
163,17338.13,33332.84,5.16,11.81,17319.72,0,1
164,15994.32,33334.08,7.93,10.50,15974.09,0,1
165,14639.93,33331.91,3.71,7.36,14628.12,0,1
166,13324.20,33334.62,5.62,9.43,13307.97,0,1
167,11968.76,33332.99,4.26,7.33,11956.62,0,1
168,10625.33,33333.26,3.50,6.82,10614.15,0,1
169,9290.62,33334.00,6.57,10.45,9271.82,0,1
170,23922.42,33333.38,5.73,10.61,23904.31,0,1
171,22592.37,33330.36,3.81,8.18,22579.77,0,1
172,21260.69,33339.02,11.44,14.94,21232.02,0,1
173,19923.55,33331.45,4.14,8.08,19910.77,0,1
174,18578.30,33329.95,2.38,6.12,18569.25,0,1
175,17267.27,33336.70,6.70,9.94,17249.67,0,1
176,15905.51,33331.68,7.45,11.05,15885.95,0,1
177,17889.75,33332.43,3.00,6.34,17879.97,0,1
178,13243.64,33342.62,18.83,24.85,13196.28,0,1
179,11878.02,33325.92,7.51,13.51,11855.52,0,1
180,10546.08,33334.42,9.05,12.46,10522.66,0,1
181,9207.36,33334.69,8.51,14.25,9183.11,0,1
182,23836.34,33329.09,4.84,8.66,23822.24,0,1
183,22501.02,33339.56,3.24,6.34,22490.85,0,1
184,21170.41,33329.57,8.31,10.85,21149.18,0,1
185,19844.31,33332.02,4.22,8.08,19831.45,0,1
186,18504.83,33330.31,2.70,6.95,18494.62,0,1
187,17164.67,33337.50,4.44,11.74,17147.47,0,1
188,15826.53,33331.33,4.76,10.48,15810.53,0,1
189,14487.94,33332.86,2.81,6.99,14477.59,0,1
190,13149.69,33335.82,12.47,15.13,13119.26,0,1
191,11804.93,33331.32,2.69,6.73,11795.09,0,1
192,10460.38,33331.28,2.31,4.39,10453.09,0,1
193,9123.15,33334.48,1.86,5.53,9115.41,0,1
194,23750.50,33332.67,1.58,3.98,23744.62,0,1
195,22426.77,33333.74,1.65,4.88,22419.78,0,1
196,21088.80,33332.62,1.67,5.19,21081.60,0,1
197,19762.69,33334.51,1.95,5.08,19755.32,0,1
198,18420.54,33331.98,1.73,4.11,18414.22,0,1
199,17079.93,33333.99,1.59,5.22,17072.79,0,1
200,15734.44,33333.94,2.98,7.18,15723.61,0,1
201,14884.17,33333.10,2.19,5.22,14876.30,0,1
202,13075.24,33341.50,10.83,17.56,13044.77,0,1
203,11753.61,33326.23,1.78,6.08,11745.31,0,1
204,10378.75,33333.75,13.35,18.35,10344.70,0,1
205,9043.42,33332.55,3.75,8.94,9030.29,0,1
206,23669.69,33333.00,1.95,5.58,23661.71,0,1
207,22353.01,33332.56,1.75,6.27,22344.59,0,1
208,21017.11,33333.92,2.02,6.22,21008.29,0,1
209,19677.82,33333.45,1.56,6.22,19669.73,0,1
210,18362.51,33331.56,1.69,6.29,18354.17,0,1
211,17001.56,33337.42,10.18,16.46,16973.40,0,1
212,15658.94,33330.04,1.73,5.51,15651.27,0,1
213,14318.62,33333.55,1.64,6.47,14310.12,0,1
214,12988.39,33333.84,2.07,6.79,12979.01,0,1
215,11632.47,33333.17,1.61,6.48,11623.98,0,1
216,10332.71,33332.39,1.91,6.18,10324.30,0,1
217,8954.09,33334.53,1.92,6.96,8944.72,0,1
218,23592.98,33333.38,1.62,6.30,23584.70,0,1
219,22293.52,33333.01,1.60,6.50,22285.06,0,1
220,20947.00,33341.18,15.47,22.67,20905.88,0,1
221,19591.77,33327.91,11.77,18.68,19559.12,0,1
222,18255.45,33332.19,3.39,8.51,18242.91,0,1
223,16928.97,33340.39,12.77,15.92,16897.42,0,1
224,15598.75,33329.35,10.27,15.98,15570.22,0,1
225,14224.89,33330.22,5.47,12.53,14205.80,0,1
226,12901.50,33342.33,16.23,20.01,12862.38,0,1
227,11558.55,33328.35,8.87,12.80,11535.16,0,1
228,10210.09,33331.93,6.95,11.08,10190.59,0,1
229,8865.17,33333.42,6.75,13.08,8843.20,0,1
230,23504.39,33334.78,9.42,14.29,23478.86,0,1
231,22179.10,33329.07,2.58,7.45,22168.56,0,1
232,20859.95,33337.64,10.58,12.98,20834.24,0,1
233,19519.79,33332.38,8.28,10.99,19499.39,0,1
234,18194.38,33331.03,5.25,10.31,18177.80,0,1
235,16849.29,33333.78,6.84,12.56,16828.78,0,1
236,15493.76,33332.84,7.09,13.32,15471.98,0,1
237,14153.14,33335.01,6.70,12.05,14133.15,0,1
238,12829.23,33333.09,9.20,14.74,12803.93,0,1
239,11471.79,33331.76,6.20,11.96,11452.55,0,1
240,10122.94,33332.93,3.38,8.28,10110.64,0,1
241,8809.00,33337.06,11.23,14.11,8781.35,0,1
242,23425.70,33331.18,6.78,11.12,23406.38,0,1
243,22093.55,33331.28,3.40,8.70,22080.85,0,1
244,20778.76,33337.22,10.01,13.05,20752.97,0,1
245,19429.58,33330.32,5.73,12.84,19409.71,0,1
246,18086.81,33332.45,2.63,6.96,18076.78,0,1
247,16766.26,33338.32,11.83,17.93,16734.23,0,1
