seq,elapsed_us,ok,error,driver1_alarm,driver1_rpm,driver2_alarm,driver2_rpm
344,15998.50,1,0,0,0,0,0
345,15996.06,1,0,0,0,0,0
346,16001.78,1,0,0,0,0,0
347,16010.99,1,0,0,0,0,0
348,16002.08,1,0,0,0,0,0
349,15990.18,1,0,0,0,0,0
350,15998.76,1,0,0,0,0,0
351,15997.20,1,0,0,0,0,0
352,15999.62,1,0,0,0,0,0
353,15999.70,1,0,0,0,0,0
354,16015.65,1,0,0,0,0,0
355,15997.73,1,0,0,0,0,0
356,15989.31,1,0,0,0,0,0
357,16001.93,1,0,0,0,0,0
358,15990.92,1,0,0,0,0,0
359,15999.36,1,0,0,0,0,0
360,16003.72,1,0,0,0,0,0
361,16018.00,1,0,0,0,0,0
362,15989.46,1,0,0,0,0,0
363,15924.63,1,0,0,0,0,0
364,15997.29,1,0,0,0,0,0
365,15995.29,1,0,0,0,0,0
366,15989.14,1,0,0,0,0,0
367,16016.63,1,0,0,0,0,0
368,16013.22,1,0,0,0,0,0
369,15982.16,1,0,0,0,0,0
370,15987.34,1,0,0,0,0,0
371,15992.95,1,0,0,0,0,0
372,15985.28,1,0,0,0,0,0
373,16010.01,1,0,0,0,0,0
374,16009.17,1,0,0,0,0,0
375,15980.94,1,0,0,0,0,0
376,15997.92,1,0,0,0,0,0
377,15986.66,1,0,0,0,0,0
378,16000.09,1,0,0,0,0,0
379,16032.25,1,0,0,0,0,0
380,15958.81,1,0,0,0,0,0
381,15994.54,1,0,0,0,0,0
382,15999.46,1,0,0,0,0,0
383,15999.97,1,0,0,0,0,0
384,16008.38,1,0,0,0,0,0
385,15979.61,1,0,0,0,0,0
386,15998.39,1,0,0,0,0,0
387,16001.55,1,0,0,0,0,0
388,15989.12,1,0,0,0,0,0
389,15998.22,1,0,0,0,0,0
390,16000.93,1,0,0,0,0,0
391,15989.23,1,0,0,0,0,0
392,15998.80,1,0,0,0,0,0
393,15997.61,1,0,0,0,0,0
394,15996.93,1,0,0,0,0,0
395,16019.84,1,0,0,0,0,0
396,15981.59,1,0,0,0,0,0
397,15986.90,1,0,0,0,0,0
398,15998.35,1,0,0,0,0,0
399,16008.73,1,0,0,0,0,0
400,15981.32,1,0,0,0,0,0
401,15998.27,1,0,0,0,0,0
402,15992.52,1,0,0,0,0,0
403,16000.07,1,0,0,0,0,0
404,15999.10,1,0,0,0,0,0
405,15989.28,1,0,0,0,0,0
406,16002.05,1,0,0,0,0,0
407,15998.02,1,0,0,0,0,0
408,15990.25,1,0,0,0,0,0
409,16000.89,1,0,0,0,0,0
410,15990.31,1,0,0,0,0,0
411,15999.45,1,0,0,0,0,0
412,15999.30,1,0,0,0,0,0
413,15991.98,1,0,0,0,0,0
414,16000.23,1,0,0,0,0,0
415,16006.72,1,0,0,0,0,0
416,16045.11,1,0,0,0,0,0
417,15938.66,1,0,0,0,0,0
418,15997.00,1,0,0,0,0,0
419,15998.06,1,0,0,0,0,0
420,15992.09,1,0,0,0,0,0
421,16000.97,1,0,0,0,0,0
422,15998.99,1,0,0,0,0,0
423,15988.68,1,0,0,0,0,0
424,15997.34,1,0,0,0,0,0
425,16001.53,1,0,0,0,0,0
426,15996.19,1,0,0,0,0,0
427,15994.34,1,0,0,0,0,0
428,15998.04,1,0,0,0,0,0
429,15991.92,1,0,0,0,0,0
430,15998.35,1,0,0,0,0,0
431,16000.22,1,0,0,0,0,0
432,15995.21,1,0,0,0,0,0
433,15997.74,1,0,0,0,0,0
434,16000.23,1,0,0,0,0,0
435,15998.88,1,0,0,0,0,0
436,15993.70,1,0,0,0,0,0
437,15993.13,1,0,0,0,0,0
438,15998.64,1,0,0,0,0,0
439,15992.83,1,0,0,0,0,0
440,15998.48,1,0,0,0,0,0
441,15990.36,1,0,0,0,0,0
442,16009.06,1,0,0,0,0,0
443,15990.92,1,0,0,0,0,0
444,15998.99,1,0,0,0,0,0
445,15991.35,1,0,0,0,0,0
446,15993.83,1,0,0,0,0,0
447,16028.09,1,0,0,0,0,0
448,15957.95,1,0,0,0,0,0
449,15998.17,1,0,0,0,0,0
450,15993.79,1,0,0,0,0,0
451,16000.79,1,0,0,0,0,0
452,16001.38,1,0,0,0,0,0
453,15989.84,1,0,0,0,0,0
454,15997.14,1,0,0,0,0,0
455,16009.18,1,0,0,0,0,0
456,15982.10,1,0,0,0,0,0
457,16000.01,1,0,0,0,0,0
458,16001.35,1,0,0,0,0,0
459,16056.16,1,0,0,0,0,0
460,15986.79,1,0,0,0,0,0
461,15947.57,1,0,0,0,0,0
462,15999.01,1,0,0,0,0,0
463,16015.41,1,0,0,0,0,0
464,16107.96,1,0,0,0,0,0
465,15875.66,1,0,0,0,0,0
466,15994.65,1,0,0,0,0,0
467,15989.10,1,0,0,0,0,0
468,15991.91,1,0,0,0,0,0
469,16002.37,1,0,0,0,0,0
470,15998.14,1,0,0,0,0,0
471,15993.07,1,0,0,0,0,0
472,16023.39,1,0,0,0,0,0
473,15961.88,1,0,0,0,0,0
474,15998.68,1,0,0,0,0,0
475,16020.66,1,0,0,0,0,0
476,15973.33,1,0,0,0,0,0
477,16005.08,1,0,0,0,0,0
478,15986.05,1,0,0,0,0,0
479,15991.95,1,0,0,0,0,0
480,15996.52,1,0,0,0,0,0
481,15992.66,1,0,0,0,0,0
482,16004.92,1,0,0,0,0,0
483,15986.00,1,0,0,0,0,0
484,16001.33,1,0,0,0,0,0
485,15999.06,1,0,0,0,0,0
486,15993.07,1,0,0,0,0,0
487,15998.82,1,0,0,0,0,0
488,15999.27,1,0,0,0,0,0
489,15989.31,1,0,0,0,0,0
490,15995.84,1,0,0,0,0,0
491,16002.81,1,0,0,0,0,0
492,15996.88,1,0,0,0,0,0
493,15996.36,1,0,0,0,0,0
494,16010.31,1,0,0,0,0,0
495,15982.67,1,0,0,0,0,0
496,15997.74,1,0,0,0,0,0
497,15989.13,1,0,0,0,0,0
498,16007.14,1,0,0,0,0,0
499,15999.74,1,0,0,0,0,0
500,15993.26,1,0,0,0,0,0
501,16000.08,1,0,0,0,0,0
502,15981.43,1,0,0,0,0,0
503,16002.95,1,0,0,0,0,0
504,15998.83,1,0,0,0,0,0
505,15991.84,1,0,0,0,0,0
506,15993.55,1,0,0,0,0,0
507,16005.06,1,0,0,0,0,0
508,15989.28,1,0,0,0,0,0
509,16040.02,1,0,0,0,0,0
510,15956.97,1,0,0,0,0,0
511,16007.76,1,0,0,0,0,0
512,15983.86,1,0,0,0,0,0
513,15994.53,1,0,0,0,0,0
